Region,Sub Region,Country,Year,theft_count,Theft_private_cars_count,prison_count,burglary_count,cjs_total_prosecuted,cjs_total_convicted,cjs_total_court,cjs_total_contact,homicide_count
Africa,Eastern Africa,Mauritius,2004,13991,1105,"2,572",2057,16606,21594,27502,0,35
Africa,Eastern Africa,Mozambique,2004,6184,0,"15,359",5537,0,0,0,34372,1130
Africa,Eastern Africa,Uganda,2004,35824,581,"18,549",6977,53798,18888,0,53798,2049
Africa,Eastern Africa,Zimbabwe,2004,163601,1096,"19,888",67559,0,34584,99427,327006,1356
Africa,Middle Africa,Cameroon,2004,12290,0,0,0,0,0,0,0,0
Africa,Northern Africa,Egypt,2004,32240,2784,0,0,0,0,0,173768,322
Africa,Northern Africa,Morocco,2004,65299,7640,"59,069",2832,0,0,0,275368,470
Africa,Southern Africa,Eswatini,2004,20851,307,"2,719",8352,0,0,0,0,146
Americas,Caribbean,Barbados,2004,1268,107,0,2179,0,0,0,0,22
Americas,Caribbean,St. Vincent and the Grenadines,2004,2017,36,0,1563,0,0,0,0,0
Americas,Caribbean,Trinidad and Tobago,2004,1937,1428,"3,924",5214,0,0,0,5375,260
Americas,Central America,Costa Rica,2004,7839,4763,"9,056",0,0,4134,8042,10367,280
Americas,Central America,Guatemala,2004,5172,4654,"8,698",1129,0,1347,122424,50259,4507
Americas,Central America,Mexico,2004,83143,144457,"196,577",141885,207871,146894,166397,0,9329
Americas,Central America,Panama,2004,11873,771,"12,015",0,0,3688,37750,0,308
Americas,Northern America,Bermuda,2004,1003,858,364,820,0,0,0,2307,1
Americas,Northern America,Canada,2004,690967,169977,"33,849",275869,426754,274835,426754,632417,625
Americas,Northern America,United States of America,2004,6937089,1237851,"2,155,900",2144446,92645,0,0,13941625,16148
Americas,South America,Colombia,2004,55079,0,"68,020",0,732237,103483,120701,324144,20210
Americas,South America,Ecuador,2004,4719,6167,"11,358",10434,0,2345,3722,28769,2390
Americas,South America,Peru,2004,57560,10633,"31,311",8861,0,0,0,45410,0
Americas,South America,Suriname,2004,13597,40,0,2183,0,0,0,3703,46
Americas,South America,Uruguay,2004,105690,4677,"6,396",8372,0,0,10368,146399,200
Asia,Central Asia,Kyrgyzstan,2004,12101,238,"16,620",0,18193,14748,19264,16309,419
Asia,Central Asia,Tajikistan,2004,3331,41,0,0,0,0,0,0,142
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2004,37500,1740,0,7002,0,0,0,0,0
Asia,Eastern Asia,Japan,2004,1061257,185454,"76,413",290595,179603,92795,897256,389027,699
Asia,Eastern Asia,Mongolia,2004,7861,61,"8,124",0,32487,9473,11749,17044,333
Asia,Eastern Asia,Republic of Korea,2004,155311,0,"54,796",0,1370339,213544,237070,2267904,420
Asia,South-Eastern Asia,Brunei Darussalam,2004,1052,142,443,498,0,0,0,2798,2
Asia,South-Eastern Asia,Philippines,2004,10739,0,"83,501",0,0,0,0,32482,6344
Asia,South-Eastern Asia,Singapore,2004,16724,1117,"15,623",1237,14707,0,26965,23793,20
Asia,Southern Asia,India,2004,273045,80682,"331,391",92490,2486770,653816,13568458,2660910,46490
Asia,Southern Asia,Iran (Islamic Republic of),2004,109839,94413,0,0,0,0,0,0,2015
Asia,Southern Asia,Sri Lanka,2004,26307,822,"20,661",17133,317962,0,0,0,1377
Asia,Western Asia,Armenia,2004,2791,127,"2,710",1930,6844,4345,0,6844,83
Asia,Western Asia,Azerbaijan,2004,1776,95,"18,504",837,13039,13353,14813,14546,201
Asia,Western Asia,Cyprus,2004,1131,0,454,3326,99686,58538,99686,8562,16
Asia,Western Asia,Georgia,2004,10634,1784,"7,867",13683,6721,9071,9359,6721,298
Asia,Western Asia,Israel,2004,135349,30850,"13,909",58471,39592,36248,39592,149785,173
Asia,Western Asia,Kuwait,2004,7230,6,0,0,0,0,0,0,43
Asia,Western Asia,Qatar,2004,734,63,564,403,0,0,0,5573,5
Asia,Western Asia,State of Palestine,2004,4660,385,"3,812",113,0,1055,0,2757,96
Asia,Western Asia,Syrian Arab Republic,2004,11544,572,"10,599",0,0,36450,1602,86213,426
Asia,Western Asia,Turkey,2004,67406,25667,"58,016",72305,2386788,1090087,2386788,566145,2914
Asia,Western Asia,United Arab Emirates,2004,11037,519,0,2153,0,0,0,63818,27
Europe,Eastern Europe,Belarus,2004,81438,1771,"42,806",0,76951,73713,77260,82166,815
Europe,Eastern Europe,Bulgaria,2004,47010,7708,"10,871",25565,63551,29646,37086,75694,244
Europe,Eastern Europe,Czech Republic,2004,162139,24230,"18,343",64695,0,0,0,0,0
Europe,Eastern Europe,Hungary,2004,129466,9053,"16,546",44679,102998,98976,107615,176314,209
Europe,Eastern Europe,Poland,2004,287936,51150,"80,368",266591,638860,513410,1002454,578059,633
Europe,Eastern Europe,Republic of Moldova,2004,12378,191,"9,377",3247,0,12751,15920,0,277
Europe,Eastern Europe,Romania,2004,48065,1120,"39,031",10002,65418,0,0,185270,516
Europe,Eastern Europe,Russian Federation,2004,1280211,71205,"762,762",291442,0,793918,1131893,1222504,39256
Europe,Eastern Europe,Slovakia,2004,37818,6000,"9,422",26685,54512,26806,34496,0,108
Europe,Eastern Europe,Ukraine,2004,233736,5857,"192,047",0,260702,204794,231003,209740,3487
Europe,Northern Europe,Denmark,2004,182444,20789,"3,767",90943,0,76526,93018,56374,43
Europe,Northern Europe,Estonia,2004,31140,628,"4,565",0,13958,12717,14789,23853,91
Europe,Northern Europe,Finland,2004,131515,19326,"3,704",23300,222570,218459,221810,297115,148
Europe,Northern Europe,Iceland,2004,3419,438,115,2769,2519,2568,3260,0,3
Europe,Northern Europe,Ireland,2004,57832,14396,"3,162",24913,0,0,0,40338,30
Europe,Northern Europe,Latvia,2004,31358,3266,"8,231",7548,13312,13222,13975,10924,181
Europe,Northern Europe,Lithuania,2004,29137,6330,"8,125",0,18974,15355,18340,24424,343
Europe,Northern Europe,Norway,2004,148289,17867,"2,899",27474,27488,12486,0,36121,36
Europe,Northern Europe,Sweden,2004,384749,60980,"7,332",119287,120076,114904,0,104157,107
Europe,Northern Europe,United Kingdom (England and Wales),2004,1824996,242732,"74,488",680358,2007235,1537988,2007235,0,779
Europe,Northern Europe,United Kingdom (Northern Ireland),2004,27783,4532,0,14147,0,0,0,0,34
Europe,Northern Europe,United Kingdom (Scotland),2004,150005,15633,"6,776",34959,67169,58295,67169,0,137
Europe,Southern Europe,Croatia,2004,30695,2462,"3,029",25922,78134,24814,33863,36693,83
Europe,Southern Europe,Greece,2004,56342,17478,"8,722",26489,0,0,0,180625,111
Europe,Southern Europe,Italy,2004,1466582,187300,"56,903",110887,549775,239391,0,709614,714
Europe,Southern Europe,Malta,2004,11466,798,298,782,0,32,0,3459,7
Europe,Southern Europe,Montenegro,2004,1269,47,799,2469,5936,0,0,0,14
Europe,Southern Europe,Portugal,2004,102081,29237,"13,152",46413,104969,69641,104969,277328,144
Europe,Southern Europe,Slovenia,2004,28969,704,"1,085",22460,30278,8589,17759,18888,27
Europe,Western Europe,Austria,2004,191663,8156,0,137270,0,45185,0,247425,59
Europe,Western Europe,Belgium,2004,217948,29925,"9,245",86598,0,0,0,0,268
Europe,Western Europe,France,2004,838153,285680,"55,355",388968,0,596514,0,1017940,990
Europe,Western Europe,Germany,2004,2410100,107920,"80,933",443010,958259,775802,958259,2384268,868
Europe,Western Europe,Liechtenstein,2004,143,19,0,130,2519,0,0,744,1
Europe,Western Europe,Netherlands,2004,790300,0,"18,766",0,273974,126174,132527,508435,191
Europe,Western Europe,Switzerland,2004,165777,62172,"5,983",70370,0,0,0,0,78
Oceania,Australia and New Zealand,Australia,2004,548778,87939,"24,171",308675,0,265304,544689,0,263
Oceania,Melanesia,Solomon Islands,2004,800,0,275,308,0,0,0,437,20
Africa,Eastern Africa,Kenya,2005,12200,654,"50,000",2863,0,0,0,79622,1084
Africa,Eastern Africa,Mauritius,2005,14325,993,"2,547",2488,8998,21804,28157,21506,37
Africa,Eastern Africa,Mozambique,2005,5554,0,"17,769",4886,0,0,0,31654,1089
Africa,Eastern Africa,Uganda,2005,55059,1641,"19,048",6672,0,0,0,54585,2492
Africa,Eastern Africa,Zimbabwe,2005,110509,650,"17,997",53952,0,0,0,0,1350
Africa,Middle Africa,Cameroon,2005,12013,0,"22,734",0,0,0,0,0,0
Africa,Northern Africa,Egypt,2005,34984,3047,0,0,0,4992935,5296066,111520,522
Africa,Northern Africa,Morocco,2005,62094,7506,"50,933",2793,0,0,546487,292789,469
Americas,Caribbean,Bahamas,2005,1450,846,"2,897",0,3874,0,0,0,52
Americas,Caribbean,Barbados,2005,1130,121,997,2107,0,0,0,0,29
Americas,Caribbean,Grenada,2005,1813,0,237,996,0,0,0,0,11
Americas,Caribbean,St. Vincent and the Grenadines,2005,1933,24,0,1492,0,0,0,0,0
Americas,Caribbean,Trinidad and Tobago,2005,2752,1329,"3,771",4582,0,0,0,5891,386
Americas,Central America,Belize,2005,1678,67,"1,380",1845,164,0,0,5251,81
Americas,Central America,Costa Rica,2005,8361,5114,"8,818",0,130358,3628,9961,9762,335
Americas,Central America,El Salvador,2005,10720,1857,"12,525",0,0,507,24567,98699,3882
Americas,Central America,Guatemala,2005,4303,4034,"8,247",1928,0,4413,93106,49957,5338
Americas,Central America,Mexico,2005,84827,143525,"208,272",142640,210416,149071,168218,0,9921
Americas,Central America,Nicaragua,2005,14512,285,"5,536",0,21179,0,0,33053,729
Americas,Central America,Panama,2005,13978,757,"12,262",0,0,3821,48302,0,364
